attribute,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
102 connect,42.0,16.0,0.0,37.0,7.0,63.0,4.0,8.0,21.0,0.0,15.0,35.0,62.0,6.0,33.0,40.0,14.0,46.0,1.0,106.0,36.0,0.0,0.0,0.0,31.0
103 connect,5.0,3.0,0.0,15.0,0.0,4.0,8.0,5.0,4.0,0.0,9.0,0.0,21.0,14.0,1.0,1.0,0.0,5.0,4.0,9.0,0.0,1.0,24.0,1.0,11.0
104 connect,29.0,0.0,1.0,0.0,3.0,3.0,23.0,6.0,1.0,6.0,9.0,1.0,0.0,4.0,8.0,28.0,25.0,18.0,2.0,2.0,30.0,2.0,13.0,27.0,0.0
105 connect,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106 connect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107 connect,11.0,0.0,4.0,6.0,6.0,1.0,20.0,3.0,3.0,0.0,17.0,10.0,7.0,3.0,5.0,9.0,11.0,13.0,14.0,25.0,17.0,6.0,3.0,32.0,4.0
108 connect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
avg max speed,52.51590106007067,46.932153392330385,48.458333333333336,47.74834437086093,48.50267379679144,49.16317991631799,51.73913043478261,51.425438596491226,47.985865724381625,49.19931856899489,49.985935302391,49.74409448818898,49.84817813765182,50.33519553072626,54.151624548736464,47.04610951008645,47.141280353200884,50.59024807527801,48.80896226415094,51.579754601226995,52.76258992805755,46.184668989547035,51.59090909090909,52.40506329113924,52.47538677918425
V0,1283.0,620.0,477.0,1122.0,546.0,382.0,1022.0,399.0,1066.0,585.0,689.0,423.0,867.0,511.0,694.0,617.0,842.0,1069.0,773.0,1021.0,589.0,555.0,617.0,628.0,662.0
V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V4,10.0,0.0,3.0,10.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,7.0,2.0,3.0,0.0,2.0,29.0,5.0,11.0,4.0,4.0,0.0,8.0,1.0,0.0
V5,122.0,58.0,0.0,75.0,15.0,92.0,35.0,54.0,63.0,0.0,20.0,78.0,119.0,23.0,137.0,75.0,35.0,95.0,64.0,279.0,102.0,19.0,35.0,3.0,49.0
V6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
avg load,2118.416961130742,2217.551622418879,200.0,1752.4834437086092,1668.4491978609626,4987.44769874477,1246.6918714555766,3264.254385964912,1715.547703180212,1458.2623509369676,1699.01547116737,4031.496062992126,2817.813765182186,2417.1322160148975,914.560770156438,5060.518731988473,2458.4988962472407,1571.4285714285713,2005.8962264150944,1741.564417177914,4764.028776978417,717.7700348432056,768.939393939394,1207.2784810126582,1052.0393811533052
max height,600.0,600.0,1200.0,520.0,450.0,850.0,480.0,450.0,600.0,450.0,550.0,550.0,950.0,1000.0,570.0,3200.0,500.0,500.0,490.0,650.0,580.0,1000.0,480.0,480.0,480.0
000 type,1329.0,660.0,472.0,1170.0,526.0,450.0,991.0,424.0,1078.0,562.0,682.0,486.0,936.0,489.0,798.0,648.0,858.0,1090.0,810.0,1225.0,637.0,557.0,628.0,608.0,684.0
001 type,13.0,0.0,2.0,14.0,1.0,5.0,9.0,8.0,4.0,0.0,7.0,6.0,12.0,14.0,6.0,11.0,21.0,6.0,3.0,17.0,18.0,1.0,2.0,9.0,5.0
002 type,8.0,1.0,1.0,12.0,0.0,4.0,24.0,2.0,15.0,4.0,11.0,5.0,3.0,7.0,5.0,6.0,11.0,12.0,14.0,21.0,9.0,6.0,2.0,2.0,8.0
003 type,58.0,17.0,3.0,12.0,23.0,19.0,28.0,13.0,33.0,21.0,11.0,4.0,35.0,24.0,12.0,22.0,8.0,59.0,18.0,41.0,21.0,7.0,8.0,7.0,13.0
004 type,7.0,0.0,2.0,0.0,11.0,0.0,6.0,9.0,2.0,0.0,0.0,7.0,2.0,3.0,10.0,7.0,8.0,2.0,3.0,0.0,10.0,3.0,20.0,6.0,1.0
